-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_KT     CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_KT
29.5,34.5,2020,1,1,0.53
29.5,35.5,2020,1,1,0.56
30.5,34.5,2020,1,1,0.54
30.5,35.5,2020,1,1,0.5
31.5,34.5,2020,1,1,0.51
31.5,35.5,2020,1,1,0.54
32.5,34.5,2020,1,1,0.51
32.5,35.5,2020,1,1,0.5
29.5,34.5,2020,1,2,0.69
29.5,35.5,2020,1,2,0.69
30.5,34.5,2020,1,2,0.65
30.5,35.5,2020,1,2,0.64
31.5,34.5,2020,1,2,0.53
31.5,35.5,2020,1,2,0.53
32.5,34.5,2020,1,2,0.37
32.5,35.5,2020,1,2,0.3
29.5,34.5,2020,1,3,0.69
29.5,35.5,2020,1,3,0.72
30.5,34.5,2020,1,3,0.67
30.5,35.5,2020,1,3,0.62
31.5,34.5,2020,1,3,0.61
31.5,35.5,2020,1,3,0.56
32.5,34.5,2020,1,3,0.5
32.5,35.5,2020,1,3,0.46
29.5,34.5,2020,1,4,0.33
29.5,35.5,2020,1,4,0.38
30.5,34.5,2020,1,4,0.38
30.5,35.5,2020,1,4,0.33
31.5,34.5,2020,1,4,0.31
31.5,35.5,2020,1,4,0.23
32.5,34.5,2020,1,4,0.48
32.5,35.5,2020,1,4,0.39
29.5,34.5,2020,1,5,0.73
29.5,35.5,2020,1,5,0.74
30.5,34.5,2020,1,5,0.71
30.5,35.5,2020,1,5,0.71
31.5,34.5,2020,1,5,0.63
31.5,35.5,2020,1,5,0.59
32.5,34.5,2020,1,5,0.31
32.5,35.5,2020,1,5,0.25
29.5,34.5,2020,1,6,0.72
29.5,35.5,2020,1,6,0.74
30.5,34.5,2020,1,6,0.68
30.5,35.5,2020,1,6,0.72
31.5,34.5,2020,1,6,0.66
31.5,35.5,2020,1,6,0.7
32.5,34.5,2020,1,6,0.5
32.5,35.5,2020,1,6,0.66
29.5,34.5,2020,1,7,0.54
29.5,35.5,2020,1,7,0.69
30.5,34.5,2020,1,7,0.45
30.5,35.5,2020,1,7,0.53
31.5,34.5,2020,1,7,0.35
31.5,35.5,2020,1,7,0.52
32.5,34.5,2020,1,7,0.32
32.5,35.5,2020,1,7,0.46
29.5,34.5,2020,1,8,0.65
29.5,35.5,2020,1,8,0.66
30.5,34.5,2020,1,8,0.58
30.5,35.5,2020,1,8,0.49
31.5,34.5,2020,1,8,0.44
31.5,35.5,2020,1,8,0.42
32.5,34.5,2020,1,8,0.27
32.5,35.5,2020,1,8,0.22
29.5,34.5,2020,1,9,0.49
29.5,35.5,2020,1,9,0.38
30.5,34.5,2020,1,9,0.48
30.5,35.5,2020,1,9,0.32
31.5,34.5,2020,1,9,0.24
31.5,35.5,2020,1,9,0.22
32.5,34.5,2020,1,9,0.23
32.5,35.5,2020,1,9,0.17
29.5,34.5,2020,1,10,0.45
29.5,35.5,2020,1,10,0.38
30.5,34.5,2020,1,10,0.39
30.5,35.5,2020,1,10,0.33
31.5,34.5,2020,1,10,0.4
31.5,35.5,2020,1,10,0.27
32.5,34.5,2020,1,10,0.44
32.5,35.5,2020,1,10,0.4
29.5,34.5,2020,1,11,0.67
29.5,35.5,2020,1,11,0.68
30.5,34.5,2020,1,11,0.62
30.5,35.5,2020,1,11,0.59
31.5,34.5,2020,1,11,0.63
31.5,35.5,2020,1,11,0.66
32.5,34.5,2020,1,11,0.66
32.5,35.5,2020,1,11,0.62
29.5,34.5,2020,1,12,0.49
29.5,35.5,2020,1,12,0.56
30.5,34.5,2020,1,12,0.52
30.5,35.5,2020,1,12,0.58
31.5,34.5,2020,1,12,0.46
31.5,35.5,2020,1,12,0.5
32.5,34.5,2020,1,12,0.37
32.5,35.5,2020,1,12,0.37
29.5,34.5,2020,1,13,0.64
29.5,35.5,2020,1,13,0.68
30.5,34.5,2020,1,13,0.54
30.5,35.5,2020,1,13,0.5
31.5,34.5,2020,1,13,0.44
31.5,35.5,2020,1,13,0.48
32.5,34.5,2020,1,13,0.61
32.5,35.5,2020,1,13,0.41
29.5,34.5,2020,1,14,0.67
29.5,35.5,2020,1,14,0.69
30.5,34.5,2020,1,14,0.68
30.5,35.5,2020,1,14,0.67
31.5,34.5,2020,1,14,0.63
31.5,35.5,2020,1,14,0.67
32.5,34.5,2020,1,14,0.53
32.5,35.5,2020,1,14,0.62
29.5,34.5,2020,1,15,0.7
29.5,35.5,2020,1,15,0.71
30.5,34.5,2020,1,15,0.68
30.5,35.5,2020,1,15,0.68
31.5,34.5,2020,1,15,0.64
31.5,35.5,2020,1,15,0.66
32.5,34.5,2020,1,15,0.54
32.5,35.5,2020,1,15,0.59
29.5,34.5,2020,1,16,0.69
29.5,35.5,2020,1,16,0.66
30.5,34.5,2020,1,16,0.58
30.5,35.5,2020,1,16,0.55
31.5,34.5,2020,1,16,0.5
31.5,35.5,2020,1,16,0.51
32.5,34.5,2020,1,16,0.27
32.5,35.5,2020,1,16,0.36
29.5,34.5,2020,1,17,0.54
29.5,35.5,2020,1,17,0.64
30.5,34.5,2020,1,17,0.5
30.5,35.5,2020,1,17,0.48
31.5,34.5,2020,1,17,0.27
31.5,35.5,2020,1,17,0.36
32.5,34.5,2020,1,17,0.19
32.5,35.5,2020,1,17,0.35
29.5,34.5,2020,1,18,0.48
29.5,35.5,2020,1,18,0.48
30.5,34.5,2020,1,18,0.34
30.5,35.5,2020,1,18,0.29
31.5,34.5,2020,1,18,0.33
31.5,35.5,2020,1,18,0.28
32.5,34.5,2020,1,18,0.47
32.5,35.5,2020,1,18,0.43
29.5,34.5,2020,1,19,0.59
29.5,35.5,2020,1,19,0.67
30.5,34.5,2020,1,19,0.64
30.5,35.5,2020,1,19,0.55
31.5,34.5,2020,1,19,0.47
31.5,35.5,2020,1,19,0.42
32.5,34.5,2020,1,19,0.35
32.5,35.5,2020,1,19,0.24
29.5,34.5,2020,1,20,0.62
29.5,35.5,2020,1,20,0.67
30.5,34.5,2020,1,20,0.51
30.5,35.5,2020,1,20,0.44
31.5,34.5,2020,1,20,0.3
31.5,35.5,2020,1,20,0.3
32.5,34.5,2020,1,20,0.36
32.5,35.5,2020,1,20,0.28
29.5,34.5,2020,1,21,0.54
29.5,35.5,2020,1,21,0.47
30.5,34.5,2020,1,21,0.5
30.5,35.5,2020,1,21,0.39
31.5,34.5,2020,1,21,0.44
31.5,35.5,2020,1,21,0.39
32.5,34.5,2020,1,21,0.36
32.5,35.5,2020,1,21,0.36
29.5,34.5,2020,1,22,0.48
29.5,35.5,2020,1,22,0.57
30.5,34.5,2020,1,22,0.49
30.5,35.5,2020,1,22,0.53
31.5,34.5,2020,1,22,0.4
31.5,35.5,2020,1,22,0.48
32.5,34.5,2020,1,22,0.49
32.5,35.5,2020,1,22,0.46
29.5,34.5,2020,1,23,0.72
29.5,35.5,2020,1,23,0.72
30.5,34.5,2020,1,23,0.69
30.5,35.5,2020,1,23,0.55
31.5,34.5,2020,1,23,0.51
31.5,35.5,2020,1,23,0.47
32.5,34.5,2020,1,23,0.6
32.5,35.5,2020,1,23,0.52
29.5,34.5,2020,1,24,0.43
29.5,35.5,2020,1,24,0.42
30.5,34.5,2020,1,24,0.48
30.5,35.5,2020,1,24,0.37
31.5,34.5,2020,1,24,0.41
31.5,35.5,2020,1,24,0.41
32.5,34.5,2020,1,24,0.47
32.5,35.5,2020,1,24,0.46
29.5,34.5,2020,1,25,0.76
29.5,35.5,2020,1,25,0.77
30.5,34.5,2020,1,25,0.69
30.5,35.5,2020,1,25,0.74
31.5,34.5,2020,1,25,0.62
31.5,35.5,2020,1,25,0.68
32.5,34.5,2020,1,25,0.67
32.5,35.5,2020,1,25,0.73
29.5,34.5,2020,1,26,0.76
29.5,35.5,2020,1,26,0.78
30.5,34.5,2020,1,26,0.73
30.5,35.5,2020,1,26,0.76
31.5,34.5,2020,1,26,0.69
31.5,35.5,2020,1,26,0.74
32.5,34.5,2020,1,26,0.7
32.5,35.5,2020,1,26,0.73
29.5,34.5,2020,1,27,0.73
