-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_PAR_TOT
29.5,34.5,2022,1,1,1.41
29.5,35.5,2022,1,1,1.31
30.5,34.5,2022,1,1,1.42
30.5,35.5,2022,1,1,1.07
31.5,34.5,2022,1,1,0.79
31.5,35.5,2022,1,1,0.68
32.5,34.5,2022,1,1,0.82
32.5,35.5,2022,1,1,0.91
29.5,34.5,2022,1,2,1.19
29.5,35.5,2022,1,2,1.3
30.5,34.5,2022,1,2,1.36
30.5,35.5,2022,1,2,1.34
31.5,34.5,2022,1,2,1.4
31.5,35.5,2022,1,2,1.12
32.5,34.5,2022,1,2,1.39
32.5,35.5,2022,1,2,1.22
29.5,34.5,2022,1,3,0.94
29.5,35.5,2022,1,3,0.92
30.5,34.5,2022,1,3,1.3
30.5,35.5,2022,1,3,1.17
31.5,34.5,2022,1,3,1.3
31.5,35.5,2022,1,3,1.23
32.5,34.5,2022,1,3,1.52
32.5,35.5,2022,1,3,1.36
29.5,34.5,2022,1,4,1.81
29.5,35.5,2022,1,4,1.81
30.5,34.5,2022,1,4,1.6
30.5,35.5,2022,1,4,1.58
31.5,34.5,2022,1,4,1.08
31.5,35.5,2022,1,4,1.16
32.5,34.5,2022,1,4,0.86
32.5,35.5,2022,1,4,0.98
29.5,34.5,2022,1,5,1.83
29.5,35.5,2022,1,5,1.85
30.5,34.5,2022,1,5,1.66
30.5,35.5,2022,1,5,1.66
31.5,34.5,2022,1,5,0.91
31.5,35.5,2022,1,5,1.2
32.5,34.5,2022,1,5,0.69
32.5,35.5,2022,1,5,0.6
29.5,34.5,2022,1,6,1.71
29.5,35.5,2022,1,6,1.79
30.5,34.5,2022,1,6,1.65
30.5,35.5,2022,1,6,1.72
31.5,34.5,2022,1,6,1.58
31.5,35.5,2022,1,6,1.65
32.5,34.5,2022,1,6,1.6
32.5,35.5,2022,1,6,1.56
29.5,34.5,2022,1,7,1.82
29.5,35.5,2022,1,7,1.81
30.5,34.5,2022,1,7,1.71
30.5,35.5,2022,1,7,1.73
31.5,34.5,2022,1,7,1.58
31.5,35.5,2022,1,7,1.64
32.5,34.5,2022,1,7,1.55
32.5,35.5,2022,1,7,1.57
