LAT,LON,YEAR,MO,DY,ALLSKY_SFC_LW_DWN
29.5,35.5,2020,1,4,7.11
29.5,34.5,2020,1,4,7.39
29.5,35.5,2022,4,8,8.5
29.5,34.5,2022,4,8,8.73
29.5,35.5,2022,4,7,8.03
29.5,34.5,2022,4,7,8.29
29.5,35.5,2022,4,10,7.67
29.5,34.5,2022,4,10,7.96
29.5,36.0,2024,4,29,-999.0
29.5,35.5,2024,4,29,8.06
29.5,35.0,2024,4,29,-999.0
29.5,35.5,2024,9,13,-999.0
29.5,35.0,2024,9,13,-999.0
29.5,34.5,2024,9,13,-999.0
29.5,34.0,2024,9,13,-999.0
29.5,35.5,2020,1,8,6.31
29.5,34.0,2024,8,17,-999.0
29.5,35.5,2022,4,12,6.49
29.5,34.5,2022,4,12,6.86
29.5,35.5,2020,1,12,6.61
29.5,34.5,2020,1,12,7.08
29.5,35.5,2020,1,11,6.15
29.5,34.5,2020,1,11,6.42
29.5,35.5,2020,1,10,7.45
29.5,34.5,2020,1,10,7.39
29.5,35.5,2020,1,9,7.06
29.5,34.5,2020,1,9,6.87
29.5,36.0,2024,9,13,-999.0
29.5,34.5,2020,1,5,6.36
29.5,35.5,2020,1,5,6.15
29.5,35.5,2020,1,1,6.4
29.5,34.5,2020,1,1,6.79
29.5,35.0,2024,12,31,-999.0
29.5,34.5,2024,12,31,-999.0
29.5,34.0,2024,12,31,-999.0
29.5,36.0,2024,2,6,-999.0
29.5,35.5,2024,2,6,6.27
29.5,35.0,2024,2,6,-999.0
29.5,34.5,2024,2,6,6.64
29.5,34.0,2024,2,6,-999.0
29.5,36.0,2024,7,20,-999.0
29.5,35.5,2024,7,20,8.03
29.5,35.0,2024,7,20,-999.0
29.5,34.5,2024,7,20,8.24
29.5,34.0,2024,7,20,-999.0
29.5,35.5,2020,1,13,6.23
29.5,34.5,2020,1,13,6.48
29.5,36.0,2024,2,7,-999.0
29.5,34.0,2024,2,8,-999.0
29.5,35.5,2020,1,15,6.9
29.5,34.5,2020,1,15,7.17
29.5,35.5,2020,1,14,6.52
29.5,34.5,2020,1,14,6.99
29.5,36.0,2024,12,31,-999.0
29.5,35.5,2022,4,11,7.5
29.5,34.5,2022,4,11,7.81
29.5,35.5,2022,4,4,7.26
29.5,34.5,2022,4,4,7.76
29.5,35.5,2022,4,3,7.66
29.5,34.5,2022,4,3,7.74
29.5,36.0,2024,11,6,-999.0
29.5,35.5,2024,11,6,-999.0
29.5,35.0,2024,11,6,-999.0
29.5,35.5,2024,12,31,-999.0
29.5,35.5,2022,4,1,7.65
29.5,34.5,2022,4,1,7.82
29.5,34.5,2024,2,5,6.63
29.5,34.0,2024,2,5,-999.0
29.5,35.5,2020,1,19,6.72
29.5,34.5,2020,1,19,6.88
29.5,35.5,2020,1,18,7.38
